"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.00.00 | Learn to trade","Language: cn","Country: au / Role: NoAuth","0","0","0","3","0"
"US_01.02 | Markets > Menu item [Shares]","Language: cn","Country: au / Role: NoAuth","1","0","9","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: cn","Country: de / Role: Auth","0","0","0","1","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: cn","Country: ae / Role: NoAuth","2","0","2","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: cn","Country: au / Role: Auth","0","0","1","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: cn","Country: au / Role: NoAuth","2","0","2","1","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: cn","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: cn","Country: de / Role: Auth","1","0","3","1","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: cn","Country: au / Role: NoReg","0","0","0","5","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: cn","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: cn","Country: de / Role: Auth","0","0","0","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: cn","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: cn","Country: de / Role: Auth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: cn","Country: au / Role: Auth","0","0","4","1","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Language: cn","Country: ae / Role: Auth","3","0","3","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: cn","Country: au / Role: Auth","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: cn","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: cn","Country: ae / Role: NoReg","0","0","1","0","0"
